USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
1RV23CS405,4,3,3,3,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS245,4,4,4,3,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS060,4,4,7,4,,,4,4,7,4,,,,,,,,,,,,,,,,,,,,
1RV22CS061,4,4,4,3,,,4,4,4,3,,,,,,,,,,,,,,,,,,,,
1RV22CS062,4,4,7,4,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS063,3.6,3.6,7.2,3.6,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS064,3,3,6,3,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS065,3.4,3.4,6.8,3.4,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS066,3.4,3.4,6.8,3.4,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS067,3.8,3.8,7.6,3.8,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS068,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS069,3.6,3.6,7.2,3.6,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS070,3.8,3.8,7.6,3.8,,,3.8,7.6,3.8,3.8,,,,,,,,,,,,,,,,,,,,
1RV22CS071,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS072,2.8,2.8,5.6,2.8,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS073,3.6,3.6,7.2,3.6,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS074,2.8,2.8,5.6,2.8,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS075,3.6,3.6,7.2,3.6,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS076,3.8,3.8,7.6,3.8,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS077,3.6,3.6,7.2,3.6,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS078,3.6,3.6,7.2,3.6,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS079,2.6,2.6,5.2,2.6,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS080,3.8,3.8,7.6,3.8,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS081,3.8,3.8,7.6,3.8,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS082,2.8,2.8,5.6,2.8,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS083,2.8,2.8,5.6,2.8,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS084,3.2,3.2,6.4,3.2,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS085,3,3,6,3,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS086,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS087,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS088,3.4,3.4,6.8,3.4,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS089,3.8,3.8,7.6,3.8,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS090,3,3,6,3,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS091,3.2,3.2,6.4,3.2,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS092,3.4,3.4,6.8,3.4,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS093,3.6,3.6,7.2,3.6,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS094,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS095,3,3,6,3,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS096,2.4,2.4,4.8,2.4,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS097,3.2,3.2,6.4,3.2,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS098,3.2,3.2,6.4,3.2,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS099,3.8,3.8,7.6,3.8,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS100,3.2,3.2,6.4,3.2,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS101,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS102,3,3,6,3,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS103,3.4,3.4,6.8,3.4,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS104,3.4,3.4,6.8,3.4,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS105,3.6,3.6,7.2,3.6,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS106,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS107,3.8,3.8,7.6,3.8,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS108,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS109,3,3,6,3,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS110,3.6,3.6,7.2,3.6,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS111,3.8,3.8,7.6,3.8,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS112,3.6,3.6,7.2,3.6,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS113,2.6,2.6,5.2,2.6,,,3,6,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS114,3.2,3.2,6.4,3.2,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS115,3,3,6,3,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
